Vehicle Make;Vehicle Model;Vehicle Description;Vehicle Price including VAT;Vehicle Kind;Vehicle CO2;Fuel Type;Maximum Weight
ME;SPR300004A5DM7F;MERCEDES-BENZ SPRINT319CDI 4x4-3,5/37 KBkeskipitk� A2 A     ;7.28E+11;V;246;D;3500
ME;SPR300002M6DV7F;MERCEDES-BENZ SPRINT319CDI 4x4-3,5/37AL keskipitk� A2       ;6.21E+11;U;266;D;3500
FO;FIE11TR15M5BH7F;FORD FIESTA         1,1 70hv M5 Trend 5ov                   ;1.41E+11;V;101;B;1645
ME;VIT210204A7DV7F;MERCEDES-BENZ VITO  114CDI 4x4-3,05/34K pitk� A3 A          ;4.28E+11;U;177;D;3050
ME;VIT210204A7DM7F;MERCEDES-BENZ VITO  114CDI 4x4-3,05/34KBpitk� A3 A          ;4.805E+11;V;174;D;3100
VO;S90200N04A8BZ6L;VOLVO S90           T6 AWD R-Design Plusaut                 ;6.42E+11;V;165;B;2360
VO;S90200104A0BZ6L;VOLVO S90           T8 AWD Business aut                     ;6.29E+11;V;46;B;2590
VO;S90200204A0BZ6L;VOLVO S90           T8 AWD Business Inscription aut         ;7.02E+11;V;46;B;2590
VO;S90200304A0BZ6L;VOLVO S90           T8 AWD Business Inscription Plus aut    ;7.79E+11;V;46;B;2590
VO;S90200404A0BZ6L;VOLVO S90           T8 AWD Business Plusaut                 ;6.65E+11;V;46;B;2590
VO;S90200504A0BZ6L;VOLVO S90           T8 AWD Business R-Design aut            ;7.02E+11;V;46;B;2590
VO;S90200604A0BZ6L;VOLVO S90           T8 AWD Business R-Design Plus aut       ;7.54E+11;V;46;B;2590
VO;S90200704A0BZ6L;VOLVO S90           T8 AWD Inscription aut                  ;7.02E+11;V;46;B;2590
VO;S90200804A0BZ6L;VOLVO S90           T8 AWD Inscription Plus aut             ;7.79E+11;V;46;B;2590
ME;VIT210504M6DM7F;MERCEDES-BENZ VITO  116CDI-3,05/34KB pitk� A3               ;4.58E+11;V;158;D;3100
ME;VIT210B04A7DM7F;MERCEDES-BENZ VITO  116CDI-3,05/34KB pitk� A3 A             ;4.84E+11;V;153;D;3100
VW;ART200004A7DZ7F;VOLKSWAGEN ARTEON   R-Line 2,0TDI 176 kW4MOT DSG            ;4.707E+11;V;152;D;2360
VW;ART200004A7BZ7F;VOLKSWAGEN ARTEON   R-Line 2,0TSI 206 kW4MOT DSG            ;4.591E+11;V;164;B;2250
VW;ART200104A7DZ7F;VOLKSWAGEN ARTEON   Arteon 2,0TDI 110 kWDSG                 ;3.8E+11;V;114;D;2180
VW;ART200204A7DZ7F;VOLKSWAGEN ARTEON   Elegance 2,0TDI 110 kW DSG              ;4.041E+11;V;116;D;2180
VW;ART200304A7DZ7F;VOLKSWAGEN ARTEON   R-Line 2,0TDI 110 kWDSG                 ;4.093E+11;V;116;D;2180
VO;S90200004M6DZ6L;VOLVO S90           D3 Business                             ;3.77E+11;V;115;D;2230
VO;S90200004A6DZ6L;VOLVO S90           D3 Business aut                         ;3.92E+11;V;115;D;2240
ME;SPR300002A5DV7F;MERCEDES-BENZ SPRINT319CDI 4x4-3,5/37AL keskipitk� A2 A     ;6.37E+11;U;254;D;3500
ME;SPR300004M6DV7F;MERCEDES-BENZ SPRINT319CDI 4x4-3,5/37K keskipitk� A2        ;6.315E+11;U;266;D;3500
ME;VIT210304A7DV7F;MERCEDES-BENZ VITO  114CDI 4x4-3,2/32K keskipitk� A2 A      ;4.225E+11;U;174;D;3200
ME;VIT210404A7DV7F;MERCEDES-BENZ VITO  114CDI 4x4-3,2/34K pitk� A3 A           ;4.345E+11;U;177;D;3200
